year	stem	qidx	primary_unit	theme	module	matched_units	competencies	level	note
1986	shanghai_science	10	常用逻辑用语	预备知识	必修	常用逻辑用语;幂函数、指数函数、对数函数	逻辑推理;数学抽象;数学运算	水平1-2	
1986	shanghai_science	11	数列	函数	选择性必修	数列	逻辑推理;数学运算	水平2-3	
1986	shanghai_science	12	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆	直观想象;数学运算;逻辑推理	水平2-3	
1986	shanghai_science	13	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1986	shanghai_science	14	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1986	shanghai_science	15	函数概念与性质	函数	必修	函数概念与性质	数学抽象;数学运算	水平1-2	
1986	shanghai_science	16	相等关系与不等关系	预备知识	必修	相等关系与不等关系	数学运算;逻辑推理	水平1-2	
1986	shanghai_science	17	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1986	shanghai_science	18	复数	几何与代数	必修	复数	数学运算;数学抽象	水平1-2	
1986	shanghai_science	19	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆	直观想象;数学运算;逻辑推理	水平2-3	
1986	shanghai_science	20	集合	预备知识	必修	集合	数学抽象;数学运算	水平1-2	
1986	shanghai_science	21	平面向量	几何与代数	必修	平面向量;直线与圆	数学运算;直观想象	水平1-2	
1986	shanghai_science	22	立体几何初步	几何与代数	必修	立体几何初步	直观想象;数学运算	水平1-2	
1986	shanghai_science	23	微积分（选修）	函数	选修	微积分（选修）	数学运算;数学抽象	水平3	
1986	shanghai_science	24	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1986	shanghai_science	25	相等关系与不等关系	预备知识	必修	相等关系与不等关系;幂函数、指数函数、对数函数	数学运算;逻辑推理;数学抽象	水平1-2	
1986	shanghai_science	26	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1986	shanghai_science	27	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1986	shanghai_science	28	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1986	shanghai_science	29	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数;函数概念与性质	数学运算;数学抽象	水平1-2	
1986	shanghai_science	30	参数方程与极坐标	几何与代数	选择性必修	参数方程与极坐标;立体几何初步;直线与圆	数学运算;直观想象	水平2-3	
1986	shanghai_science	31	数列	函数	选择性必修	数列;复数;计数原理	逻辑推理;数学运算;数学抽象	水平2-3	
1986	shanghai_science	32	相等关系与不等关系	预备知识	必修	相等关系与不等关系	数学运算;逻辑推理	水平1-2	
1986	shanghai_science	33	三角函数	函数	必修	三角函数;相等关系与不等关系;复数	数学运算;直观想象;逻辑推理;数学抽象	水平1-2	
1986	shanghai_science	34	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆	直观想象;数学运算;逻辑推理	水平2-3	
1986	shanghai_science	35	空间向量与立体几何	几何与代数	选择性必修	空间向量与立体几何	直观想象;数学运算	水平2-3	
1987	shanghai	1	函数概念与性质	函数	必修	函数概念与性质	数学抽象;数学运算	水平1-2	
1987	shanghai	2	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1987	shanghai	3	常用逻辑用语	预备知识	必修	常用逻辑用语;函数概念与性质	逻辑推理;数学抽象;数学运算	水平1-2	
1987	shanghai	4	立体几何初步	几何与代数	必修	立体几何初步	直观想象;数学运算	水平1-2	
1987	shanghai	5	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1987	shanghai	6	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1987	shanghai	7	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1987	shanghai	8	圆锥曲线	几何与代数	选择性必修	圆锥曲线	直观想象;数学运算;逻辑推理	水平2-3	
1987	shanghai	9	参数方程与极坐标	几何与代数	选择性必修	参数方程与极坐标;三角函数;平面向量	数学运算;直观想象	水平2-3	
1987	shanghai	10	数列	函数	选择性必修	数列;计数原理;统计	逻辑推理;数学运算;数据分析;数学建模	水平2-3	
1987	shanghai	11	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1987	shanghai	12	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数	数学运算;数学抽象	水平1-2	
1987	shanghai	13	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数;函数概念与性质	数学运算;数学抽象	水平1-2	
1987	shanghai	14	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数;函数概念与性质	数学运算;数学抽象	水平1-2	
1987	shanghai	15	相等关系与不等关系	预备知识	必修	相等关系与不等关系	数学运算;逻辑推理	水平1-2	
1987	shanghai	16	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1987	shanghai	17	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1987	shanghai	18	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1987	shanghai	19	三角函数	函数	必修	三角函数;直线与圆	数学运算;直观想象	水平1-2	
1987	shanghai	20	参数方程与极坐标	几何与代数	选择性必修	参数方程与极坐标;圆锥曲线;三角函数;平面向量;直线与圆	数学运算;直观想象;逻辑推理	水平2-3	
1987	shanghai	21	常用逻辑用语	预备知识	必修	常用逻辑用语;立体几何初步;直线与圆	逻辑推理;数学抽象;直观想象;数学运算	水平1-2	
1987	shanghai	22	立体几何初步	几何与代数	必修	立体几何初步	直观想象;数学运算	水平1-2	
1987	shanghai	23	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1987	shanghai	24	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1987	shanghai	25	集合	预备知识	必修	集合;三角函数;幂函数、指数函数、对数函数	数学抽象;数学运算;直观想象	水平1-2	
1987	shanghai	26	空间向量与立体几何	几何与代数	选择性必修	空间向量与立体几何;三角函数;复数;立体几何初步	直观想象;数学运算;数学抽象	水平2-3	
1987	shanghai	27	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆;空间向量与立体几何	直观想象;数学运算;逻辑推理	水平2-3	
1987	shanghai	28	相等关系与不等关系	预备知识	必修	相等关系与不等关系;平面向量;复数;空间向量与立体几何	数学运算;逻辑推理;直观想象;数学抽象	水平1-2	
1987	shanghai	29	复数	几何与代数	必修	复数;数列;平面向量;微积分（选修）;计数原理;矩阵与变换	数学运算;数学抽象;逻辑推理;直观想象	水平1-2	
1988	shanghai	1	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数	数学运算;数学抽象	水平1-2	
1988	shanghai	2	函数概念与性质	函数	必修	函数概念与性质	数学抽象;数学运算	水平1-2	
1988	shanghai	3	参数方程与极坐标	几何与代数	选择性必修	参数方程与极坐标;直线与圆;平面向量	数学运算;直观想象	水平2-3	
1988	shanghai	4	参数方程与极坐标	几何与代数	选择性必修	参数方程与极坐标	数学运算;直观想象	水平2-3	
1988	shanghai	5	立体几何初步	几何与代数	必修	立体几何初步;直线与圆;三角函数	直观想象;数学运算	水平1-2	
1988	shanghai	6	微积分（选修）	函数	选修	微积分（选修）	数学运算;数学抽象	水平3	
1988	shanghai	7	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1988	shanghai	8	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1988	shanghai	9	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆;空间向量与立体几何	直观想象;数学运算;逻辑推理	水平2-3	
1988	shanghai	10	计数原理	概率与统计	选择性必修	计数原理	逻辑推理;数学运算	水平2-3	
1988	shanghai	11	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆;立体几何初步	直观想象;数学运算;逻辑推理	水平2-3	
1988	shanghai	12	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1988	shanghai	13	函数概念与性质	函数	必修	函数概念与性质	数学抽象;数学运算	水平1-2	
1988	shanghai	14	常用逻辑用语	预备知识	必修	常用逻辑用语	逻辑推理;数学抽象	水平1-2	
1988	shanghai	15	立体几何初步	几何与代数	必修	立体几何初步;常用逻辑用语;直线与圆	直观想象;数学运算;逻辑推理;数学抽象	水平1-2	
1988	shanghai	16	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1988	shanghai	17	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1988	shanghai	18	函数概念与性质	函数	必修	函数概念与性质	数学抽象;数学运算	水平1-2	
1988	shanghai	19	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数	数学运算;数学抽象	水平1-2	
1988	shanghai	20	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1988	shanghai	21	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1988	shanghai	22	集合	预备知识	必修	集合	数学抽象;数学运算	水平1-2	
1988	shanghai	23	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1988	shanghai	24	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1988	shanghai	25	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数	数学运算;数学抽象	水平1-2	
1988	shanghai	26	三角函数	函数	必修	三角函数;复数;立体几何初步;直线与圆	数学运算;直观想象;数学抽象	水平1-2	
1988	shanghai	27	三角函数	函数	必修	三角函数;相等关系与不等关系;复数	数学运算;直观想象;逻辑推理;数学抽象	水平1-2	
1988	shanghai	28	圆锥曲线	几何与代数	选择性必修	圆锥曲线;数列;平面向量;复数;立体几何初步;空间向量与立体几何	直观想象;数学运算;逻辑推理	水平2-3	
1989	shanghai	1	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1989	shanghai	2	复数	几何与代数	必修	复数;三角函数	数学运算;数学抽象;直观想象	水平1-2	
1989	shanghai	3	三角函数	函数	必修	三角函数;相等关系与不等关系;幂函数、指数函数、对数函数	数学运算;直观想象;逻辑推理;数学抽象	水平1-2	
1989	shanghai	4	立体几何初步	几何与代数	必修	立体几何初步	直观想象;数学运算	水平1-2	
1989	shanghai	5	函数概念与性质	函数	必修	函数概念与性质(兜底)	数学抽象;数学运算	水平1-2	仅命中'函数'兜底
1989	shanghai	6	立体几何初步	几何与代数	必修	立体几何初步;空间向量与立体几何;直线与圆	直观想象;数学运算	水平1-2	
1989	shanghai	7	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数	数学运算;数学抽象	水平1-2	
1989	shanghai	8	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1989	shanghai	9	微积分（选修）	函数	选修	微积分（选修）	数学运算;数学抽象	水平3	
